Description,SKSCodes_range,SKSCodes
"Kræft i læber, mundhule og svælg [DC00-DC14]",DC00-DC14,"DC00, DC000, DC001, DC002, DC003, DC004, DC005, DC006, DC008, DC009, DC01, DC019, DC02, DC020, DC021, DC021A, DC022, DC022A, DC023, DC024, DC028, DC029, DC03, DC030, DC031, DC039, DC04, DC040, DC041, DC048, DC049, DC05, DC050, DC051, DC052, DC058, DC059, DC06, DC060, DC061, DC062, DC068, DC069, DC07, DC079, DC08, DC080, DC081, DC088, DC089, DC09, DC090, DC091, DC091A, DC091B, DC092, DC098, DC099, DC10, DC100, DC101, DC102, DC103, DC104, DC104A, DC104B, DC108, DC109, DC11, DC110, DC111, DC112, DC113, DC118, DC119, DC12, DC129, DC13, DC130, DC131, DC132, DC138, DC139, DC14, DC140, DC141, DC142, DC148"
Kræft i fordøjelsesorganer [DC15-DC26],DC15-DC26,"DC15, DC153, DC154, DC155, DC158, DC159, DC16, DC160, DC161, DC162, DC163, DC164, DC165, DC166, DC168, DC169, DC17, DC170, DC171, DC172, DC173, DC178, DC179, DC18, DC180, DC180A, DC181, DC182, DC183, DC184, DC185, DC186, DC187, DC188, DC188A, DC189, DC20, DC209, DC21, DC210, DC211, DC212, DC218, DC22, DC220, DC221, DC221A, DC222, DC223, DC224, DC227, DC229, DC23, DC239, DC24, DC240, DC240A, DC240B, DC240C, DC240D, DC240E, DC241, DC248, DC249, DC25, DC250, DC251, DC252, DC253, DC254, DC257, DC258, DC259, DC26, DC260, DC261, DC268, DC269"
Kræft i åndedrætsorganer og organer i brysthulen [DC30-DC39],DC30-DC39,"DC30, DC300, DC300A, DC300B, DC300C, DC301, DC301A, DC301B, DC31, DC310, DC311, DC312, DC313, DC318, DC319, DC32, DC320, DC320A, DC321, DC321A, DC321B, DC321C, DC321D, DC322, DC323, DC328, DC329, DC33, DC339, DC34, DC340, DC340A, DC340B, DC341, DC342, DC343, DC348, DC349, DC37, DC379, DC38, DC380, DC380A, DC381, DC382, DC383, DC384, DC388, DC39, DC390, DC398, DC399"
Kræft i knogler og ledbrusk [DC40-DC41],DC40-DC41,"DC40, DC400, DC400A, DC400B, DC400C, DC400D, DC401, DC401A, DC401B, DC402, DC402A, DC402B, DC403, DC403A, DC403B, DC408, DC409, DC41, DC410, DC410A, DC410B, DC410C, DC410D, DC410E, DC410F, DC410G, DC411, DC411A, DC412, DC412A, DC412B, DC413, DC413A, DC413B, DC413C, DC413D, DC413E, DC413F, DC414, DC414A, DC414B, DC414C, DC414D, DC414E, DC414F, DC418, DC419, DC419A, DC419B"
Modermærkekræft i hud og anden hudkræft [DC43-DC44],DC43-DC44,"DC43, DC430, DC431, DC431A, DC431B, DC432, DC432A, DC432B, DC433, DC434, DC434A, DC434B, DC435, DC435A, DC435B, DC435C, DC435L, DC436, DC436A, DC436B, DC436C, DC437, DC437A, DC437B, DC437C, DC438, DC439, DC44, DC440, DC441, DC441A, DC442, DC442A, DC442B, DC443, DC444, DC444A, DC444B, DC445, DC445A, DC445B, DC445C, DC446, DC446A, DC446B, DC446C, DC447, DC447A, DC447B, DC447C, DC448, DC449"
"Kræft i mesotel, bindevæv og andet bløddelsvæv [DC45-DC49]",DC45-DC49,"DC45, DC450, DC451, DC452, DC457, DC459, DC46, DC460, DC461, DC462, DC463, DC467, DC468, DC469, DC47, DC470, DC470A, DC470B, DC470C, DC470D, DC470E, DC470F, DC471, DC471A, DC471B, DC471C, DC471D, DC472, DC472A, DC472B, DC472C, DC472D, DC473, DC473A, DC473B, DC474, DC474A, DC474B, DC475, DC475A, DC475B, DC476, DC476A, DC476B, DC478, DC478A, DC478B, DC479, DC479A, DC479B, DC48, DC480, DC481, DC481A, DC481B, DC481C, DC482, DC488, DC49, DC490, DC490A, DC490B, DC490C, DC491, DC491A, DC491B, DC492, DC492A, DC492B, DC493, DC493A, DC493B, DC494, DC495, DC495A, DC496, DC498, DC499"
Brystkræft [DC50-DC50],DC50-DC50,"DC50, DC500, DC500A, DC500B, DC501, DC502, DC503, DC504, DC505, DC506, DC508, DC509"
Kræft i kvindelige kønsorganer [DC51-DC58],DC51-DC58,"DC51, DC510, DC510A, DC511, DC512, DC518, DC519, DC52, DC529, DC53, DC539, DC54, DC549, DC55, DC559, DC56, DC569, DC569A, DC57, DC570, DC571, DC572, DC573, DC574, DC577, DC578, DC579, DC58, DC589, DC589A, DC589B"
Kræft i mandlige kønsorganer [DC60-DC63],DC60-DC63,"DC60, DC600, DC601, DC602, DC608, DC609, DC61, DC619, DC619Y, DC619Z, DC62, DC620, DC621, DC629, DC629A, DC63, DC630, DC631, DC632, DC637, DC638, DC639"
Kræft i nyre og urinveje [DC64-DC68],DC64-DC68,"DC64, DC649, DC65, DC659, DC66, DC669, DC67, DC677, DC679, DC68, DC680, DC681, DC688, DC689"
"Kræft i øje, hjerne og andre dele af centralnervesystem [DC69-DC72]",DC69-DC72,"DC69, DC690, DC691, DC692, DC692A, DC693, DC694, DC695, DC695A, DC695B, DC696, DC698, DC699, DC699A, DC70, DC700, DC701, DC709, DC71, DC710, DC710A, DC710B, DC711, DC712, DC713, DC714, DC715, DC716, DC717, DC717A, DC717B, DC717C, DC718, DC719, DC72, DC720, DC721, DC722, DC722A, DC723, DC724, DC725, DC728, DC729"
Kræft i skjoldbruskkirtel og andre endokrine kirtler [DC73-DC75],DC73-DC75,"DC73, DC739, DC74, DC740, DC741, DC749, DC75, DC750, DC751, DC752, DC753, DC754, DC755, DC755A, DC755B, DC758, DC759"
"Kræft med dårligt specificerede, sekundære og ikke specificerede lokalisationer [DC76-DC80]",DC76-DC80,"DC76, DC760, DC760A, DC760B, DC760C, DC761, DC762, DC763, DC764, DC765, DC767, DC768, DC77, DC770, DC770A, DC770A1, DC770A2, DC770B, DC770C, DC770C1, DC770C2, DC770D, DC770E, DC770E1, DC770E2, DC770F, DC770G, DC770G1, DC770G2, DC770H, DC771, DC771A, DC771A1, DC771A2, DC771B, DC772, DC772A, DC772A1, DC772A2, DC772B, DC773, DC773A, DC773A1, DC773A2, DC773B, DC773C, DC773C1, DC773C2, DC773D, DC773E, DC773E1, DC773E2, DC773F, DC774, DC774A, DC774A1, DC774A2, DC774B, DC774C, DC774C1, DC774C2, DC774D, DC775, DC775A, DC775A1, DC775A2, DC775B, DC778, DC778A, DC778A1, DC778A2, DC778B, DC779, DC779A, DC779A1, DC779A2, DC779B, DC78, DC780, DC781, DC782, DC782A, DC782B, DC783, DC784, DC784A, DC785, DC785A, DC785B, DC786, DC786A, DC786B, DC786C, DC786D, DC786E, DC787, DC788, DC79, DC790, DC790A, DC790B, DC791, DC791I, DC791J, DC791S, DC791T, DC791U, DC791V, DC792, DC793, DC793A, DC793B, DC793C, DC794, DC795, DC795A, DC795B, DC795C, DC795D, DC795E, DC796, DC797, DC798, DC798A, DC798C, DC798D, DC798E, DC798F, DC798Z, DC799, DC80, DC800, DC809, DC809A"
Kræft i lymfatisk og bloddannende væv [DC81-DC96],DC81-DC96,"DC81, DC810, DC811, DC812, DC813, DC814, DC817, DC819, DC82, DC820, DC821, DC822, DC825, DC826, DC827, DC829, DC83, DC830, DC830B, DC830C, DC830D, DC831, DC831A, DC831B, DC833, DC833A, DC833B, DC833C, DC833D, DC833E, DC833F, DC835, DC835A, DC835B, DC835C, DC837, DC837A, DC837B, DC838, DC838A, DC838B, DC839, DC84, DC840, DC840A, DC840B, DC840C, DC841, DC844, DC844F, DC844H, DC845, DC846, DC846A, DC847, DC848, DC849, DC85, DC851, DC852, DC857, DC857B, DC859, DC86, DC860, DC861, DC862, DC863, DC864, DC865, DC866, DC866B, DC866C, DC88, DC880, DC882, DC882A, DC882B, DC883, DC883A, DC883B, DC884, DC884A, DC884B, DC884C, DC887, DC889, DC90, DC900, DC901, DC902, DC903, DC91, DC910, DC911, DC911A, DC911B, DC913, DC914, DC915, DC915A, DC915B, DC915C, DC915D, DC916, DC917, DC917B, DC918, DC919, DC92, DC920, DC920A, DC920B, DC920C, DC920D, DC920E, DC920F, DC920G, DC920H, DC921, DC921A, DC922, DC923, DC923A, DC923B, DC924, DC924A, DC925, DC925A, DC926, DC926A, DC927, DC927B, DC928, DC929, DC93, DC930, DC930A, DC930B, DC931, DC931A, DC931B, DC931C, DC933, DC937, DC939, DC94, DC940, DC940A, DC942, DC943, DC944, DC946, DC947, DC947B, DC947C, DC95, DC950, DC950C, DC950D, DC951, DC957, DC959, DC96, DC960, DC960A, DC962, DC962B, DC964, DC964A, DC964B, DC964C, DC965, DC965A, DC965B, DC966, DC966A, DC966B, DC966C, DC966D, DC967, DC967A, DC968, DC969"
Lokalrecidiv [DC99-DC99],DC99-DC99,"DC99, DC991, DC991A, DC991B, DC991C, DC991D, DC991E, DC991Y"
Carcinoma in situ [DD00-DD09],DD00-DD09,"DD00, DD000, DD000A, DD000B, DD000C, DD001, DD002, DD01, DD010, DD012, DD013, DD013A, DD013B, DD014, DD014A, DD015, DD015A, DD015B, DD015C, DD015D, DD017, DD017A, DD019, DD02, DD020, DD021, DD022, DD022A, DD022B, DD023, DD023A, DD023B, DD023C, DD024, DD03, DD030, DD031, DD031A, DD032, DD032A, DD032B, DD033, DD033A, DD034, DD034A, DD034B, DD035, DD035A, DD035B, DD035C, DD035G, DD036, DD036A, DD036B, DD037, DD037A, DD037B, DD038, DD039, DD04, DD040, DD041, DD041A, DD042, DD042A, DD042B, DD043, DD043A, DD043B, DD043C, DD044, DD044A, DD044B, DD045, DD045A, DD045B, DD045C, DD046, DD046A, DD046B, DD047, DD047A, DD047B, DD048, DD049, DD05, DD050, DD051, DD056, DD057, DD059, DD06, DD069, DD07, DD070, DD071, DD071A, DD072, DD072A, DD073, DD073A, DD073B, DD073B1, DD073C, DD074, DD075, DD076, DD076A, DD076B, DD076T, DD09, DD090, DD091, DD091A, DD091B, DD091C, DD091D, DD092, DD093, DD093A, DD093B, DD095, DD096, DD096B, DD096C, DD096D, DD097, DD097A, DD099"
Godartede neoplasmer [DD10-DD36],DD10-DD36,"DD10, DD100, DD101, DD101A, DD102, DD103, DD103A, DD103B, DD104, DD104A, DD105, DD106, DD106A, DD107, DD109, DD11, DD110, DD117, DD117A, DD117B, DD119, DD12, DD120, DD120A, DD121, DD122, DD123, DD123A, DD123B, DD124, DD125, DD126, DD126A, DD126B, DD126C, DD126F, DD128, DD129, DD129A, DD129B, DD13, DD130, DD131, DD132, DD133, DD134, DD134A, DD135, DD136, DD137, DD137A, DD137B, DD139, DD139A, DD14, DD140, DD140A, DD140B, DD140C, DD140D, DD141, DD142, DD143, DD143A, DD143B, DD144, DD15, DD150, DD151, DD152, DD157, DD159, DD16, DD160, DD160C, DD160D, DD161, DD162, DD163, DD163C, DD164, DD164C, DD164D, DD164E, DD165, DD166, DD167, DD167D, DD167E, DD167F, DD168, DD168D, DD168E, DD168F, DD169, DD17, DD170, DD170A, DD170B, DD170C, DD170D, DD170E, DD170F, DD171, DD171C, DD172, DD173, DD174, DD175, DD176, DD177, DD177A, DD177B, DD177C, DD179, DD18, DD180, DD180A, DD180B, DD180C, DD180D, DD180E, DD180F, DD181, DD181A, DD181B, DD189, DD19, DD190, DD191, DD197, DD199, DD20, DD200, DD201, DD21, DD210, DD210A, DD210B, DD210C, DD211, DD211A, DD212, DD212B, DD213, DD214, DD215, DD216, DD216A, DD217, DD219, DD22, DD220, DD221, DD222, DD222A, DD222B, DD223, DD224, DD224A, DD224B, DD225, DD225A, DD225B, DD225C, DD226, DD226A, DD227, DD227A, DD228, DD229, DD229Q, DD23, DD230, DD231, DD231A, DD232, DD232A, DD232B, DD233, DD234, DD234A, DD234B, DD235, DD235A, DD235B, DD235C, DD236, DD236A, DD237, DD237A, DD239, DD24, DD249, DD249A, DD249C, DD249D, DD249E, DD249F, DD249G, DD249W, DD25, DD250, DD250A, DD250B, DD250C, DD251, DD252, DD259, DD26, DD260, DD261, DD267, DD269, DD27, DD270, DD271, DD272, DD278, DD279, DD28, DD280, DD281, DD282, DD282A, DD282B, DD282C, DD287, DD289, DD29, DD290, DD291, DD292, DD293, DD294, DD297, DD297A, DD297B, DD297C, DD299, DD30, DD300, DD301, DD302, DD303, DD304, DD307, DD309, DD31, DD310, DD311, DD312, DD313, DD314, DD315, DD315A, DD315B, DD315C, DD316, DD316A, DD319, DD32, DD320, DD321, DD329, DD33, DD330, DD330A, DD330B, DD330C, DD330D, DD331, DD331A, DD331B, DD331C, DD331D, DD332, DD333, DD333A, DD333B, DD334, DD337, DD339, DD34, DD349, DD35, DD350, DD350A, DD351, DD352, DD352A, DD353, DD354, DD355, DD356, DD356A, DD356B, DD356C, DD357, DD358, DD359, DD36, DD360, DD361, DD361A, DD361B, DD367, DD367A, DD369"
