Description,SKSCodes_range,SKSCodes
"Sygdomme i nerver, nerverødder og nerveplekser [DG50-DG59]",DG50-DG59,"DG50, DG500, DG500A, DG500B, DG500C, DG500D, DG500E, DG501, DG508, DG509, DG51, DG510, DG511, DG512, DG513, DG514, DG518, DG518A, DG518B, DG518C, DG518D, DG519, DG52, DG520, DG521, DG521A, DG522, DG523, DG527, DG528, DG529, DG53, DG530, DG530A, DG530B, DG530C, DG531, DG532, DG533, DG538, DG54, DG540, DG540A, DG540B, DG540C, DG541, DG542, DG543, DG544, DG545, DG546, DG547, DG547A, DG548, DG549, DG55, DG550, DG550A, DG550B, DG551, DG551A, DG551B, DG552, DG552A, DG552B, DG553, DG558, DG56, DG560, DG561, DG562, DG562A, DG563, DG564, DG568, DG568A, DG569, DG57, DG570, DG571, DG571A, DG572, DG573, DG574, DG575, DG576, DG576A, DG578, DG578A, DG579, DG58, DG580, DG587, DG588, DG589, DG59, DG590, DG598"
Polyneuropatier og andre sygdomme i perifere nervesystem [DG60-DG64],DG60-DG64,"DG60, DG600, DG600A, DG600B, DG600C, DG600D, DG600E, DG600F, DG600G, DG600I, DG601, DG602, DG603, DG608, DG608A, DG608B, DG608C, DG608D, DG609, DG61, DG610, DG611, DG618, DG619, DG62, DG620, DG621, DG622, DG628, DG628A, DG629, DG63, DG630, DG631, DG632, DG633, DG634, DG635, DG636, DG638, DG64, DG649, DG649A"
Neuromuskulære og muskulære sygdomme [DG70-DG73],DG70-DG73,"DG70, DG700, DG701, DG702, DG708, DG709, DG71, DG710, DG710A, DG710B, DG710C, DG710D, DG710E, DG710F, DG710G, DG710H, DG710I, DG710J, DG711, DG711A, DG711B, DG711C, DG711D, DG711E, DG711F, DG711G, DG711I, DG711J, DG711K, DG712, DG712A, DG712B, DG712C, DG712D, DG713, DG718, DG719, DG72, DG720, DG721, DG722, DG723, DG723A, DG723B, DG723C, DG723D, DG724, DG728, DG729, DG73, DG730, DG731, DG732, DG733, DG734, DG734C, DG735, DG736, DG737"
Cerebral parese og andre syndromer med lammelse [DG80-DG83],DG80-DG83,"DG80, DG800, DG801, DG802, DG803, DG803A, DG803B, DG804, DG808, DG808A, DG809, DG81, DG810, DG811, DG819, DG82, DG820, DG821, DG822, DG822A, DG823, DG824, DG825, DG83, DG830, DG831, DG832, DG833, DG834, DG834A, DG834B, DG835, DG838, DG838A, DG839"
Andre sygdomme i nervesystemet [DG90-DG99],DG90-DG99,"DG90, DG900, DG900A, DG901, DG902, DG904, DG908, DG909, DG909A, DG909B, DG91, DG910, DG911, DG912, DG913, DG918, DG919, DG92, DG929, DG929A, DG93, DG930, DG930A, DG930B, DG931, DG932, DG933, DG933A, DG934, DG935, DG935A, DG935B, DG935C, DG936, DG937, DG938, DG938A, DG939, DG94, DG940, DG941, DG942, DG943, DG948, DG95, DG950, DG950A, DG950B, DG951, DG951A, DG951B, DG951C, DG951D, DG951E, DG951F, DG951G, DG952, DG952A, DG958, DG958A, DG958B, DG958C, DG959, DG96, DG960, DG960A, DG960B, DG961, DG961A, DG968, DG969, DG97, DG970, DG971, DG972, DG978, DG978A, DG979, DG98, DG989, DG99, DG990, DG991, DG992, DG998"
"Sygdomme i øjenlåg, tårekirtel og øjenhule [DH00-DH06]",DH00-DH06,"DH00, DH000, DH000A, DH000B, DH000C, DH000D, DH001, DH01, DH010, DH011, DH011A, DH011B, DH011C, DH011D, DH011E, DH018, DH019, DH02, DH020, DH020A, DH020B, DH021, DH022, DH023, DH024, DH025, DH025A, DH025B, DH025D, DH026, DH027, DH027A, DH027B, DH027C, DH028, DH028A, DH028B, DH028C, DH029, DH03, DH030, DH031, DH038, DH04, DH040, DH041, DH041A, DH041B, DH041C, DH041D, DH041E, DH041F, DH042, DH043, DH043A, DH043B, DH043C, DH043D, DH043E, DH043F, DH044, DH044A, DH044C, DH045, DH045A, DH045B, DH045C, DH045D, DH045E, DH045F, DH046, DH046A, DH048, DH049, DH05, DH050, DH050A, DH050B, DH050C, DH050D, DH050E, DH050F, DH051, DH051A, DH052, DH052A, DH052B, DH053, DH053A, DH053B, DH053D, DH054, DH055, DH055B, DH058, DH058A, DH058B, DH059, DH06, DH060, DH061, DH062, DH063"
Sygdomme i øjets bindehinde [DH10-DH13],DH10-DH13,"DH10, DH100, DH101, DH102, DH102A, DH102B, DH102C, DH103, DH104, DH104A, DH104A0, DH104A1, DH104B, DH104C, DH104D, DH105, DH106, DH108, DH109, DH11, DH110, DH111, DH111B, DH111C, DH111D, DH111F, DH111G, DH112, DH112A, DH113, DH113A, DH114, DH114A, DH114B, DH114C, DH114D, DH118, DH118A, DH119, DH13, DH130, DH131, DH132, DH133, DH134, DH134A, DH134B, DH134C, DH134D, DH138"
"Sygdomme i øjets senehinde, hornhinde, regnbuehinde og strålelegeme [DH15-DH22]",DH15-DH22,"DH15, DH150, DH151, DH158, DH158B, DH159, DH16, DH160, DH160B, DH160F, DH160G, DH160G0, DH160G1, DH160H, DH161, DH161C, DH161F, DH161G, DH161G0, DH161G1, DH161J, DH161K, DH161M, DH161N, DH162, DH162A, DH163, DH164, DH165, DH165A, DH165B, DH165B0, DH165B1, DH165B2, DH165C, DH165D, DH165E, DH165F, DH165G, DH168, DH169, DH17, DH170, DH171, DH178, DH179, DH18, DH180, DH180A, DH180B, DH180C, DH180D, DH180E, DH180F, DH180G, DH181, DH181A, DH181B, DH181C, DH181D, DH181E, DH181F, DH182, DH183, DH183A, DH183B, DH184, DH184A, DH184B, DH184C, DH184D, DH184E, DH184F, DH185, DH185A, DH185B, DH185C, DH185D, DH185E, DH185F, DH185G, DH185H, DH186, DH187, DH187A, DH187B, DH187B0, DH187D, DH188, DH188A, DH188B, DH188C, DH189, DH19, DH190, DH190B, DH190E, DH192, DH193, DH198, DH20, DH200, DH201, DH202, DH208, DH209, DH21, DH210, DH211, DH211A, DH212, DH212A, DH212B, DH212C, DH212D, DH212E, DH212F, DH212G, DH212H, DH212I, DH213, DH213A, DH213B, DH213C, DH213D, DH213E, DH213F, DH213G, DH213H, DH213I, DH213J, DH213K, DH213L, DH214, DH214A, DH214B, DH215, DH215A, DH215B, DH215C, DH215D, DH215E, DH215F, DH218, DH219, DH22, DH220, DH221, DH228"
Sygdomme i øjets linse [DH25-DH28],DH25-DH28,"DH25, DH250, DH250B, DH250E, DH251, DH258, DH259, DH26, DH260, DH260A, DH260B, DH260C, DH261, DH262, DH263, DH264, DH265, DH268, DH269, DH269A, DH27, DH270, DH271, DH278, DH278A, DH279, DH28, DH280, DH281, DH282, DH288"
Sygdomme i øjets årehinde og nethinde [DH30-DH36],DH30-DH36,"DH30, DH300, DH301, DH302, DH308, DH309, DH31, DH310, DH310A, DH310B, DH311, DH311A, DH311B, DH312, DH312A, DH312B, DH312C, DH312D, DH312E, DH312F, DH313, DH313A, DH313B, DH313C, DH314, DH318, DH319, DH32, DH320, DH328, DH33, DH330, DH330A, DH330A0, DH330A1, DH330B, DH330B0, DH330B1, DH331, DH331A, DH331B, DH331C, DH331D, DH331E, DH332, DH332A, DH333, DH333A, DH333B, DH334, DH334A, DH334B, DH335, DH34, DH340, DH340A, DH341, DH341A, DH341B, DH342, DH342A, DH342B, DH342C, DH348, DH348A, DH348B, DH348C, DH348D, DH348E, DH348F, DH349, DH35, DH350, DH350A, DH350B, DH350C, DH350D, DH350E, DH350F, DH350G, DH350H, DH350I, DH350J, DH350K, DH351, DH351A, DH352, DH352A, DH353, DH353A, DH353B, DH353C, DH353D, DH353E, DH353F, DH353G, DH353H, DH353J, DH353K, DH353L, DH353M, DH353N, DH353P, DH353Q, DH354, DH354A, DH354B, DH354C, DH354D, DH355, DH355A, DH355B, DH355C, DH355D, DH355E, DH355F, DH356, DH357, DH357A, DH357B, DH358, DH358A, DH359, DH36, DH360, DH360H, DH360J, DH360K, DH368, DH368D, DH368D1, DH368D2"
Grøn stær [DH40-DH42],DH40-DH42,"DH40, DH400, DH400A, DH400B, DH400C, DH400D, DH400E, DH400F, DH400G, DH400H, DH400J, DH401, DH401A, DH402, DH402D, DH403, DH404, DH405, DH405A, DH405B, DH405C, DH406, DH408, DH409, DH42, DH420, DH428"
Sygdomme i øjets glaslegeme og øjeæble[DH43-DH45],DH43-DH45,"DH43, DH430, DH431, DH432, DH433, DH433A, DH438, DH438C, DH438D, DH439, DH44, DH440, DH440A, DH440B, DH441, DH441A, DH441B, DH441C, DH441D, DH441E, DH442, DH443, DH443A, DH443B, DH444, DH445, DH445C, DH446, DH447, DH448, DH448A, DH448B, DH448C, DH448D, DH449, DH45, DH450, DH451, DH458"
Sygdomme i synsnerve og synsbaner [DH46-DH48],DH46-DH48,"DH46, DH469, DH469A, DH469B, DH469C, DH47, DH470, DH470A, DH470B, DH470C, DH471, DH472, DH472A, DH473, DH473A, DH473B, DH474, DH475, DH475A, DH475B, DH475C, DH476, DH477, DH48, DH480, DH481, DH488"
"Forstyrrelser i øjenmuskler, samsynsfunktion, akkommodation og refraktion [DH49-DH52]",DH49-DH52,"DH49, DH490, DH491, DH492, DH493, DH494, DH498, DH498A, DH498B, DH499, DH50, DH500, DH500A, DH500B, DH501, DH501A, DH501B, DH502, DH502A, DH502B, DH503, DH503A, DH503B, DH503C, DH503D, DH504, DH504A, DH504B, DH504E, DH504F, DH504G, DH505, DH505A, DH505B, DH505C, DH506, DH506A, DH506B, DH508, DH508A, DH509, DH51, DH510, DH511, DH512, DH518, DH519, DH52, DH520, DH521, DH522, DH522A, DH523, DH523A, DH523B, DH524, DH525, DH525A, DH525B, DH526, DH527"
Synsforstyrrelser og blindhed [DH53-DH54],DH53-DH54,"DH53, DH530, DH530A, DH530B, DH530C, DH531, DH531A, DH531B, DH531C, DH531D, DH531F, DH531G, DH531H, DH532, DH533, DH533A, DH533B, DH533C, DH533D, DH534, DH534A, DH534B, DH534C, DH534D, DH534E, DH534F, DH534G, DH534H, DH534I, DH535, DH535A, DH535B, DH535C, DH535D, DH535E, DH535F, DH535G, DH535H, DH536, DH538, DH539, DH54, DH540, DH541, DH542, DH543, DH544, DH545, DH546, DH547"
Andre sygdomme i øje og øjenomgivelser [DH55-DH59],DH55-DH59,"DH55, DH559, DH559A, DH559B, DH559C, DH559D, DH559X, DH57, DH570, DH570A, DH571, DH578, DH579, DH58, DH580, DH581, DH588, DH59, DH590, DH598, DH598A, DH598B, DH599"
Sygdomme i ydre øre [DH60-DH62],DH60-DH62,"DH60, DH600, DH600A, DH601, DH601B, DH602, DH603, DH603A, DH603B, DH603C, DH604, DH604A, DH605, DH605B, DH608, DH608A, DH609, DH61, DH610, DH610A, DH611, DH611A, DH612, DH612A, DH613, DH618, DH618A, DH619, DH62, DH620, DH621, DH622, DH623, DH624, DH628"
Sygdomme i mellemøre og processus mastoideus [DH65-DH75],DH65-DH75,"DH65, DH650, DH650A, DH651, DH651C, DH651D, DH652, DH653, DH654, DH654C, DH659, DH66, DH660, DH660A, DH661, DH662, DH663, DH664, DH669, DH67, DH670, DH671, DH678, DH68, DH680, DH681, DH69, DH690, DH698, DH699, DH70, DH700, DH701, DH702, DH708, DH709, DH71, DH719, DH72, DH720, DH721, DH721A, DH722, DH728, DH728A, DH728B, DH729, DH73, DH730, DH730A, DH731, DH738, DH738A, DH739, DH74, DH740, DH741, DH742, DH743, DH743A, DH743B, DH744, DH748, DH749, DH75, DH750, DH758"
Sygdomme i indre øre [DH80-DH83],DH80-DH83,"DH80, DH800, DH801, DH802, DH808, DH809, DH81, DH810, DH810A, DH811, DH812, DH813, DH813A, DH813B, DH813C, DH813D, DH814, DH814A, DH818, DH819, DH82, DH829, DH83, DH830, DH831, DH832, DH832A, DH832B, DH833, DH833A, DH838, DH839"
Andre sygdomme i øre [DH90-DH95],DH90-DH95,"DH90, DH900, DH901, DH902, DH903, DH904, DH905, DH905A, DH905B, DH905C, DH905D, DH905E, DH906, DH907, DH908, DH91, DH910, DH911, DH912, DH912A, DH913, DH918, DH918A, DH918A1, DH918A2, DH918A3, DH918A4, DH918A5, DH919, DH919A, DH919B, DH92, DH920, DH921, DH922, DH93, DH930, DH930A, DH930B, DH930C, DH931, DH932, DH932A, DH932B, DH932C, DH933, DH933A, DH933B, DH938, DH938A, DH939, DH94, DH940, DH948, DH948A, DH95, DH950, DH951, DH951A, DH951B, DH951C, DH958, DH959"
Gigtfeber [DI00-DI02],DI00-DI02,"DI00, DI009, DI009A, DI009B, DI01, DI010, DI011, DI011A, DI012, DI018, DI018A, DI019, DI02, DI020, DI020A, DI029"
Kroniske reumatiske hjertesygdomme [DI05-DI09],DI05-DI09,"DI05, DI050, DI051, DI052, DI058, DI059, DI06, DI060, DI061, DI062, DI068, DI069, DI07, DI070, DI071, DI072, DI078, DI079, DI08, DI080, DI080A, DI081, DI081A, DI082, DI082A, DI083, DI083A, DI088, DI089, DI09, DI090, DI091, DI091A, DI091B, DI092, DI092A, DI092B, DI092C, DI098, DI098A, DI098B, DI098C, DI098E, DI099, DI099A"
Blodtryksforhøjelse [DI10-DI15],DI10-DI15,"DI10, DI109, DI11, DI110, DI119, DI119A, DI12, DI120, DI129, DI129A, DI13, DI130, DI131, DI132, DI139, DI15, DI150, DI151, DI152, DI158, DI159"
Iskæmiske hjertesygdomme [DI20-DI25],DI20-DI25,"DI20, DI200, DI200B, DI200C, DI201, DI208, DI208D, DI208E, DI208E1, DI208E2, DI209, DI21, DI210, DI210A, DI210B, DI211, DI211A, DI211B, DI213, DI213A, DI213B, DI213C, DI214, DI219, DI219A, DI23, DI230, DI231, DI232, DI233, DI234, DI235, DI236, DI236A, DI236B, DI238, DI238A, DI24, DI240, DI240A, DI241, DI248, DI248A, DI249, DI25, DI251, DI252, DI252A, DI252B, DI252C, DI253, DI254, DI254A, DI254B, DI255, DI256, DI258, DI259"
Pulmonal hjertesygdom og sygdomme i lungekredsløbet [DI26-DI28],DI26-DI28,"DI26, DI260, DI260A, DI269, DI269A, DI27, DI270, DI271, DI272, DI278, DI278A, DI279, DI279A, DI28, DI280, DI281, DI288, DI288A, DI288B, DI289"
Andre former for hjertesygdom [DI30-DI52],DI30-DI52,"DI30, DI300, DI301, DI301A, DI301B, DI301C, DI301D, DI301E, DI308, DI309, DI31, DI310, DI310B, DI310C, DI311, DI311A, DI312, DI313, DI313A, DI318, DI318A, DI318B, DI319, DI319A, DI32, DI320, DI321, DI328, DI33, DI330, DI339, DI34, DI340, DI341, DI342, DI348, DI348A, DI349, DI35, DI350, DI351, DI352, DI358, DI358A, DI359, DI36, DI360, DI361, DI362, DI368, DI368A, DI369, DI37, DI370, DI371, DI372, DI378, DI379, DI38, DI389, DI39, DI390, DI391, DI392, DI393, DI394, DI398, DI40, DI400, DI401, DI408, DI408A, DI409, DI41, DI410, DI411, DI412, DI418, DI42, DI420, DI421, DI421A, DI422, DI423, DI423A, DI423B, DI424, DI424A, DI425, DI426, DI427, DI428, DI428A, DI428B, DI429, DI43, DI430, DI431, DI432, DI438, DI44, DI440, DI441, DI441B, DI441C, DI441D, DI441E, DI442, DI442A, DI443, DI443A, DI444, DI445, DI446, DI446A, DI446B, DI447, DI45, DI450, DI451, DI451A, DI452, DI453, DI454, DI455, DI455A, DI455B, DI455C, DI455G, DI455H, DI455K, DI455L, DI456, DI456A, DI456AA, DI456B, DI456C, DI456D, DI456DA, DI456DB, DI456E, DI458, DI458M, DI458N, DI459, DI459A, DI46, DI460, DI461, DI469, DI47, DI470, DI470A, DI470B, DI470C, DI470D, DI470H, DI470HA, DI470HB, DI471, DI471E, DI471EA, DI471EB, DI471F, DI471FA, DI471G, DI471H, DI471J, DI471L, DI471LA, DI471M, DI471N, DI471P, DI471PA, DI471PB, DI471R, DI471RA, DI471RB, DI471RC, DI471X, DI472, DI472A, DI472B, DI472D, DI472E, DI472EA, DI472EB, DI472F, DI472FA, DI472H, DI472L, DI472LA, DI472LB, DI472LC, DI472M, DI472N, DI472NA, DI478, DI478A, DI479, DI48, DI480, DI481, DI482, DI483, DI484, DI489, DI49, DI490, DI490A, DI490B, DI490BA, DI491, DI491A, DI491B, DI491C, DI491D, DI491E, DI492, DI493, DI493A, DI493B, DI493C, DI494, DI494A, DI495, DI495B, DI498, DI499, DI499A, DI50, DI500, DI500A, DI501, DI501A, DI501B, DI501C, DI501D, DI509, DI51, DI510, DI510A, DI510B, DI511, DI511A, DI512, DI513, DI513A, DI513B, DI513C, DI514, DI514A, DI514B, DI515, DI515A, DI515B, DI516, DI517, DI517A, DI517B, DI517C, DI518, DI518A, DI518B, DI519, DI52, DI520, DI521, DI521C, DI528"
Karsygdomme i hjerne [DI60-DI69],DI60-DI69,"DI60, DI600, DI601, DI602, DI603, DI604, DI605, DI606, DI606A, DI606B, DI606C, DI607, DI607A, DI608, DI609, DI609A, DI61, DI610, DI610A, DI611, DI611A, DI611B, DI612, DI613, DI614, DI615, DI616, DI618, DI619, DI62, DI620, DI621, DI629, DI63, DI630, DI631, DI632, DI633, DI634, DI635, DI636, DI638, DI639, DI64, DI649, DI65, DI650, DI650A, DI650B, DI651, DI651A, DI651B, DI652, DI652A, DI652B, DI653, DI653A, DI653B, DI653C, DI653D, DI658, DI659, DI66, DI660, DI660A, DI660B, DI661, DI661A, DI661B, DI662, DI662A, DI662B, DI663, DI663A, DI663B, DI664, DI664A, DI664B, DI664C, DI664D, DI668, DI668A, DI669, DI67, DI670, DI671, DI671A, DI672, DI672A, DI673, DI673A, DI674, DI675, DI676, DI676A, DI677, DI677A, DI678, DI678A, DI678B, DI679, DI68, DI680, DI681, DI682, DI688, DI69, DI690, DI691, DI692, DI693, DI694, DI698"
"Sygdomme i arterier, arterioler og kapillærer [DI70-DI79]",DI70-DI79,"DI70, DI700, DI701, DI702, DI702A, DI702B, DI708, DI708A, DI709, DI71, DI710, DI710A, DI710B, DI711, DI712, DI713, DI714, DI715, DI716, DI718, DI719, DI719A, DI719B, DI72, DI720, DI721, DI722, DI723, DI724, DI725, DI726, DI728, DI729, DI73, DI730, DI731, DI738, DI738A, DI738B, DI738C, DI738D, DI738E, DI739, DI739A, DI739B, DI739C, DI74, DI740, DI740A, DI740B, DI740C, DI740D, DI741, DI741A, DI741B, DI742, DI742A, DI742B, DI743, DI743A, DI743B, DI744, DI744A, DI744B, DI744C, DI745, DI745A, DI745B, DI748, DI749, DI77, DI770, DI770A, DI770B, DI771, DI772, DI772A, DI772B, DI773, DI774, DI775, DI776, DI776A, DI778, DI778A, DI779, DI78, DI780, DI781, DI781A, DI781B, DI781D, DI788, DI788A, DI788B, DI788C, DI788D, DI789, DI79, DI790, DI791, DI792, DI798"
Sygdomme i vener og lymfesystem IKA [DI80-DI89],DI80-DI89,"DI80, DI800, DI800A, DI800B, DI801, DI801A, DI801B, DI802, DI802A, DI802B, DI803, DI803A, DI803B, DI803C, DI803D, DI803E, DI803F, DI808, DI808A, DI808B, DI808C, DI808D, DI809, DI81, DI819, DI82, DI820, DI821, DI822, DI822A, DI822B, DI823, DI823A, DI823B, DI828, DI829, DI829A, DI829B, DI83, DI830, DI830A, DI830B, DI831, DI831A, DI832, DI839, DI839A, DI839B, DI85, DI850, DI859, DI86, DI860, DI861, DI862, DI863, DI864, DI864A, DI868, DI868A, DI87, DI870, DI871, DI871A, DI871B, DI871C, DI872, DI872A, DI878, DI879, DI88, DI880, DI880A, DI880B, DI881, DI881A, DI888, DI889, DI89, DI890, DI890A, DI890B, DI890C, DI891, DI891A, DI891B, DI891C, DI898, DI898A, DI898B, DI898C, DI899"
Andre og ikke specificerede kredsløbssygdomme [DI95-DI99],DI95-DI99,"DI95, DI950, DI951, DI952, DI958, DI958A, DI959, DI97, DI970, DI971, DI971A, DI972, DI978, DI979, DI98, DI980, DI981, DI982, DI988, DI99, DI999"
Akutte infektioner i øvre luftveje [DJ00-DJ06],DJ00-DJ06,"DJ00, DJ009, DJ01, DJ010, DJ011, DJ012, DJ013, DJ014, DJ018, DJ019, DJ02, DJ020, DJ020A, DJ028, DJ029, DJ029A, DJ029B, DJ029C, DJ03, DJ030, DJ038, DJ039, DJ039A, DJ039B, DJ039C, DJ039D, DJ039E, DJ039F, DJ04, DJ040, DJ040A, DJ040B, DJ040C, DJ040D, DJ041, DJ042, DJ05, DJ050, DJ051, DJ06, DJ060, DJ068, DJ069"
Influenza og lungebetændelse [DJ09-DJ18],DJ09-DJ18,"DJ09, DJ091, DJ091A, DJ091B, DJ10, DJ100, DJ101, DJ101A, DJ101B, DJ101C, DJ108, DJ108A, DJ11, DJ110, DJ111, DJ111A, DJ111B, DJ111C, DJ118, DJ118B, DJ118D, DJ12, DJ120, DJ121, DJ122, DJ123, DJ128, DJ128A, DJ129, DJ13, DJ139, DJ139A, DJ139B, DJ14, DJ149, DJ149A, DJ149B, DJ15, DJ150, DJ151, DJ152, DJ153, DJ154, DJ155, DJ156, DJ156A, DJ157, DJ158, DJ159, DJ16, DJ160, DJ168, DJ17, DJ170, DJ171, DJ172, DJ173, DJ178, DJ18, DJ180, DJ181, DJ182, DJ188, DJ189"
Andre akutte infektioner i nedre luftveje [DJ20-DJ22],DJ20-DJ22,"DJ20, DJ200, DJ200A, DJ201, DJ201A, DJ202, DJ202A, DJ203, DJ203A, DJ204, DJ204A, DJ205, DJ205A, DJ206, DJ206A, DJ207, DJ207A, DJ208, DJ208A, DJ209, DJ209A, DJ21, DJ210, DJ211, DJ218, DJ219, DJ22, DJ229"
Andre sygdomme i øvre luftveje [DJ30-DJ39],DJ30-DJ39,"DJ30, DJ300, DJ300B, DJ301, DJ301A, DJ301B, DJ301C, DJ302, DJ303, DJ303A, DJ304, DJ31, DJ310, DJ311, DJ312, DJ32, DJ320, DJ321, DJ322, DJ323, DJ324, DJ328, DJ329, DJ33, DJ330, DJ331, DJ331A, DJ338, DJ338A, DJ338B, DJ338C, DJ338D, DJ339, DJ34, DJ340, DJ340A, DJ340B, DJ340D, DJ340E, DJ340F, DJ340G, DJ340H, DJ340I, DJ340J, DJ341, DJ341A, DJ341B, DJ341C, DJ341D, DJ342, DJ343, DJ343A, DJ348, DJ348A, DJ348B, DJ348C, DJ35, DJ350, DJ351, DJ351A, DJ351B, DJ352, DJ353, DJ358, DJ359, DJ36, DJ369, DJ37, DJ370, DJ370A, DJ370B, DJ370C, DJ371, DJ38, DJ380, DJ380A, DJ380B, DJ380C, DJ380C1, DJ380C2, DJ381, DJ381A, DJ381B, DJ382, DJ382A, DJ383, DJ383A, DJ383B, DJ383C, DJ383D, DJ383E, DJ383F, DJ383V, DJ384, DJ384A, DJ384B, DJ384C, DJ384D, DJ385, DJ385A, DJ385B, DJ386, DJ387, DJ387A, DJ387B, DJ387C, DJ387D, DJ387E, DJ387F, DJ387G, DJ388, DJ388A, DJ388A1, DJ388A2, DJ388B, DJ388B1, DJ388B2, DJ388C, DJ388C1, DJ388C2, DJ39, DJ390, DJ390A, DJ390B, DJ390C, DJ391, DJ391A, DJ391B, DJ391C, DJ392, DJ392A, DJ392B, DJ392C, DJ392D, DJ398, DJ398A, DJ399"
Kroniske sygdomme i nedre luftveje [DJ40-DJ47],DJ40-DJ47,"DJ40, DJ409, DJ41, DJ410, DJ411, DJ418, DJ42, DJ429, DJ429A, DJ429B, DJ43, DJ430, DJ431, DJ431A, DJ432, DJ438, DJ439, DJ439A, DJ44, DJ440, DJ441, DJ448, DJ448A, DJ448B, DJ448C, DJ449, DJ45, DJ450, DJ450A, DJ451, DJ451A, DJ458, DJ459, DJ46, DJ469, DJ47, DJ479"
Lungesygdomme forårsaget af ydre agentia [DJ60-DJ70],DJ60-DJ70,"DJ60, DJ609, DJ609A, DJ61, DJ619, DJ62, DJ620, DJ628, DJ628A, DJ628B, DJ63, DJ630, DJ631, DJ632, DJ633, DJ634, DJ635, DJ638, DJ638A, DJ638B, DJ64, DJ649, DJ65, DJ659, DJ66, DJ660, DJ661, DJ662, DJ668, DJ67, DJ670, DJ671, DJ672, DJ673, DJ674, DJ675, DJ676, DJ677, DJ678, DJ678A, DJ678B, DJ678C, DJ678D, DJ678E, DJ679, DJ679A, DJ68, DJ680, DJ680B, DJ680C, DJ681, DJ682, DJ683, DJ684, DJ684A, DJ684B, DJ684C, DJ688, DJ689, DJ69, DJ690, DJ691, DJ698, DJ698A, DJ70, DJ700, DJ701, DJ702, DJ703, DJ704, DJ708, DJ709"
Andre lungesygdomme overvejende lokaliseret til bindevæv [DJ80-DJ84],DJ80-DJ84,"DJ80, DJ801, DJ809, DJ809A, DJ809B, DJ809C, DJ81, DJ819, DJ82, DJ821, DJ829, DJ84, DJ840, DJ840A, DJ840B, DJ841, DJ841A, DJ841B, DJ841C, DJ841D, DJ841F, DJ841G, DJ841H, DJ841X, DJ848, DJ848A, DJ849"
Sygdomme med pus og nekrose i nedre luftveje [DJ85-DJ86],DJ85-DJ86,"DJ85, DJ850, DJ851, DJ852, DJ853, DJ86, DJ860, DJ869"
Andre sygdomme i lungehinde [DJ90-DJ94],DJ90-DJ94,"DJ90, DJ909, DJ91, DJ919, DJ92, DJ920, DJ929, DJ93, DJ930, DJ931, DJ938, DJ939, DJ94, DJ940, DJ941, DJ942, DJ942A, DJ948, DJ948A, DJ949"
Andre sygdomme i åndedrætsorganer [DJ95-DJ99],DJ95-DJ99,"DJ95, DJ950, DJ950A, DJ950B, DJ950C, DJ950D, DJ951, DJ952, DJ953, DJ954, DJ955, DJ958, DJ958A, DJ959, DJ96, DJ960, DJ961, DJ969, DJ98, DJ980, DJ980A, DJ980B, DJ980C, DJ980D, DJ980E, DJ980F, DJ980G, DJ980H, DJ980I, DJ981, DJ982, DJ982A, DJ983, DJ984, DJ984A, DJ984B, DJ984C, DJ985, DJ985A, DJ985B, DJ985C, DJ985D, DJ986, DJ986A, DJ986B, DJ986C, DJ986D, DJ988, DJ988A, DJ989, DJ99, DJ990, DJ991, DJ998"
